Date,TSLA_Price,Ownership_Pct,Shares_Millions,TSLA_Wealth_B,Other_Wealth_B,Total_Wealth_B,TSLA_Pct_of_Total
2025-12-31,370.2459715209761,12.8,426.24,157.81364290110085,336.61281848956617,494.426461390667,31.918526863877883
2026-01-31,376.19695602207116,12.8,426.24,160.35019053484763,341.7661825040636,502.1163730389112,31.93486592846503
2026-02-28,385.1899731012079,12.8,426.24,164.18337413465886,346.99844179291523,511.1818159275741,32.11839095581618
2026-03-31,388.39362613933156,12.8,426.24,165.5488992056287,352.3108042009966,517.8597034066253,31.967905229273864
2026-04-30,383.6761732840185,12.8,426.24,163.53813210058004,357.70449606464837,521.2426281652284,31.374665705342153
2026-05-31,383.6012253797757,12.8,426.24,163.5061863058756,363.18076249477133,526.6869488006469,31.044282885347013
2026-06-30,387.54507459912037,12.8,426.24,165.18721259712908,368.7408676642549,533.9280802613839,30.93810172266307
2026-07-31,393.0472507910417,12.8,426.24,167.53246017717362,374.386095099806,541.9185552769796,30.914693461925513
2026-08-31,402.7312725643407,12.8,426.24,171.6601776178246,380.1177479782461,551.7779255960706,31.110374238401217
2026-09-30,407.3811078206035,12.8,426.24,173.64212339745404,385.93714942734334,559.5792728247974,31.030835456234072
2026-10-31,407.26281191240304,12.8,426.24,173.59170094954266,391.84564283125155,565.4373437807942,30.700430889269274
2026-11-30,410.19903192617744,12.8,426.24,174.84323536821387,397.84459214062485,572.6878275088387,30.530286653511133
2026-12-31,410.98781455333545,12.8,426.24,175.1794460752137,403.93538218747926,579.114828262693,30.24951832104536
2027-01-31,412.1491299197381,12.8,426.24,175.67444513698914,410.11941900487614,585.7938641418652,29.989123459723537
2027-02-28,419.1550140204006,12.8,426.24,178.66063317605557,416.3981301514982,595.0587633275538,30.02403194215471
2027-03-31,418.3883372790501,12.8,426.24,178.33384488182233,422.77296504119585,601.1068099230182,29.66758019338709
2027-04-30,413.2769122793287,12.8,426.24,176.15515108994106,429.24539527757787,605.4005463675189,29.097289744268416
2027-05-31,416.72543862561105,12.8,426.24,177.62505095978045,435.8169149937254,613.4419659535058,28.95547758681431
2027-06-30,422.3139640116656,12.8,426.24,180.00710402033235,442.48904119710573,622.4961452174381,28.916982924842983
2027-07-31,426.33289220614364,12.8,426.24,181.72013197394668,449.26331411976713,630.9834460937138,28.799508624027766
2027-08-31,436.40490376309845,12.8,426.24,186.0132261799831,456.1412975738952,642.1545237538783,28.96705065512819
2027-09-30,440.7301834045096,12.8,426.24,187.85683337433818,463.1245793128118,650.9814126871499,28.857480369354082
2027-10-31,441.62948939138727,12.8,426.24,188.24015355818491,470.21477139750175,658.4549249556867,28.588160923977185
2027-11-30,444.1398602179749,12.8,426.24,189.31017401930964,477.41351056874964,666.7236845880593,28.3940976442552
2027-12-31,442.98377819910735,12.8,426.24,188.8174056195875,484.72245862497505,673.5398642445625,28.03359023617166
2028-01-31,442.10796029200253,12.8,426.24,188.44409699486314,492.14330280585125,680.5873998007144,27.688449279261157
2028-02-29,441.5192933850401,12.8,426.24,188.1931836124395,499.67775618179775,687.8709397942373,27.358792576516418
2028-03-31,444.08668728256885,12.8,426.24,189.28750958732215,507.32755804943486,696.615067636757,27.17246846662011
2028-04-30,451.2614085714439,12.8,426.24,192.34566278949225,515.0944743330933,707.4401371225856,27.188966627173784
2028-05-31,456.0067611519563,12.8,426.24,194.36832187340985,522.9802979924704,717.3486198658802,27.09537824297343
2028-06-30,457.6377702619468,12.8,426.24,195.06352319645222,530.9868494365267,726.0503726329789,26.866389791808228
2028-07-31,460.60354033572327,12.8,426.24,196.3276530326987,539.1159769437204,735.4436299764191,26.69513271044222
2028-08-31,466.05027545258787,12.8,426.24,198.64926940891107,547.369557088674,746.0188264975851,26.627916394755236
2028-09-30,472.5121196970945,12.8,426.24,201.40356589968957,555.749495175374,757.1530610750635,26.60011248105125
2028-10-31,472.979309496628,12.8,426.24,201.6027008798427,564.257725677002,765.8604265568447,26.323686913320245
2028-11-30,477.5667036964479,12.8,426.24,203.55803178357397,572.8962126824994,776.4542444660733,26.21635894637296
2028-12-31,481.3634142172741,12.8,426.24,205.17634167597095,581.6669503499699,786.8432920259409,26.07588369314161
2029-01-31,485.954010456574,12.8,426.24,207.13303741701012,590.5719633670213,797.7050007840314,25.96611995830885
2029-02-28,478.61897136549015,12.8,426.24,204.00655035482652,599.6133074181571,803.6198577729836,25.3859518753277
2029-03-31,480.2723834224874,12.8,426.24,204.71130071000104,608.7930696593216,813.5043703693227,25.164130417279036
2029-04-30,483.4018221116536,12.8,426.24,206.04519265687122,618.1133691997118,824.158561856583,25.000673680160883
2029-05-31,487.6283119434179,12.8,426.24,207.84669168276244,627.5763575909643,835.4230492737267,24.87921441280002
2029-06-30,490.5077744210078,12.8,426.24,209.07403376921036,637.1842193238318,846.2582530930422,24.70570100853405
2029-07-31,493.8061801938191,12.8,426.24,210.47994624581344,646.9391723324643,857.4191185782777,24.548081758990747
2029-08-31,500.82721240218154,12.8,426.24,213.47259101430586,656.8434685064087,870.3160595207146,24.528168666893933
2029-09-30,506.6241192394957,12.8,426.24,215.94346458464264,666.8993942104487,882.8428587950914,24.460011476942046
2029-10-31,507.25056507110935,12.8,426.24,216.21048085590965,677.1092708124021,893.3197516683117,24.203033734799618
2029-11-30,511.1651077678661,12.8,426.24,217.87901553497525,687.4754552189992,905.3544707539744,24.065603315961624
2029-12-31,513.2937516349655,12.8,426.24,218.78632869688767,698.0003404199637,916.7866691168513,23.86447535364432
2030-01-31,515.9553519250235,12.8,426.24,219.92080920452202,708.6863560404254,928.6071652449474,23.682868002263525
2030-02-28,515.7901154418338,12.8,426.24,219.85037880592722,719.5359689017884,939.3863477077156,23.403616556958134
2030-03-31,516.390819097542,12.8,426.24,220.10642273213634,730.5516835911857,950.658106323322,23.153057999305314
2030-04-30,515.4588814681088,12.8,426.24,219.7091936369667,741.736043039654,961.4452366766207,22.851971725027667
2030-05-31,519.2412405117176,12.8,426.24,221.32138635571454,753.0916291091569,974.4130154648715,22.71330358309375
2030-06-30,523.4147596765836,12.8,426.24,223.10030716454696,764.621063188598,987.721370353145,22.58737270054011
2030-07-31,527.0567544792066,12.8,426.24,224.652671029217,776.327006798957,1000.979677828174,22.443279919193365
2030-08-31,535.6299396487507,12.8,426.24,228.3069054758835,788.2121622076902,1016.5190676835737,22.459677612948802
2030-09-30,540.724508896344,12.8,426.24,230.47841467197767,800.2792730525382,1030.7576877245158,22.36009659853017
2030-10-31,541.4952534220563,12.8,426.24,230.8069368186173,812.5311249748823,1043.3380617934997,22.121970363264598
2030-11-30,544.7117243990459,12.8,426.24,232.17792540784933,824.9705462627986,1057.148471670648,21.96266008320767
