Date,TSLA_Price,Ownership_Pct,Shares_Millions,TSLA_Wealth_B,Other_Wealth_B,Total_Wealth_B,TSLA_Pct_of_Total
2025-12-31,319.88368740420646,12.758333333333333,424.8525,135.90338430289563,334.18088398936186,470.0842682922575,28.910430207888332
2026-01-31,316.32848656096013,12.716666666666669,423.46500000000003,133.954042561537,336.84568928694824,470.79973184848524,28.45244665616051
2026-02-28,319.93254180909406,12.675,422.0775,135.0363274154279,339.5317441161932,474.56807153162106,28.454574910531093
2026-03-31,320.02265377754884,12.633333333333333,420.69,134.63033021767703,342.23921792384635,476.8695481415234,28.23210891581653
2026-04-30,311.63050727313305,12.591666666666669,419.3025,130.66745077589286,344.9682815078493,475.6357322837422,27.472168701140127
2026-05-31,308.1305351036914,12.55,417.915,128.7723725778592,347.7191070281105,476.4914796059697,27.025115472021945
2026-06-30,309.6325991259133,12.508333333333333,416.5275,128.97049243241884,350.4918680173657,479.4623604497845,26.898981665929185
2026-07-31,311.6181460400752,12.466666666666667,415.14000000000004,129.36515714707684,353.28673939212496,482.6518965392018,26.80299364297009
2026-08-31,317.77950455791995,12.425,413.7525,131.48206445960076,356.1038974637073,487.5859619233081,26.965924929619167
2026-09-30,320.20792644322603,12.383333333333333,412.365,132.0425415877609,358.9435199493629,490.98606153712376,26.89333810706907
2026-10-31,318.585806860567,12.341666666666667,410.9775,130.93159843903868,361.80578598348416,492.73738442252284,26.572288317941933
2026-11-30,319.6696415181728,12.3,409.59000000000003,130.93348846942843,364.6908761289063,495.62436459833475,26.417887783934894
2026-12-31,317.57238752628484,12.258333333333333,408.2025,129.63384251919828,367.59897238829814,497.2328149074964,26.07105537540095
2027-01-31,315.6898013437717,12.216666666666667,406.815,128.42734653366648,370.53025821564313,498.9576047493096,25.739130000472088
2027-02-28,320.292183459168,12.174999999999999,405.4275,129.85525920939182,373.4849185278127,503.3401777372045,25.7987073062921
2027-03-31,317.71090669415116,12.133333333333333,404.04,128.36791474070483,376.46313971623107,504.83105445693593,25.427895848997363
