Date,TSLA_Price,Ownership_Pct,Shares_Millions,TSLA_Wealth_B,Other_Wealth_B,Total_Wealth_B,TSLA_Pct_of_Total
2025-12-31,418.2252122008585,12.8,426.24,178.26431444849393,339.9330261399816,518.1973405884755,34.40085474889804
2026-01-31,435.9368898699698,12.8,426.24,185.81373993817593,348.5415095545873,534.3552494927633,34.77344708685086
2026-02-28,451.39633372903364,12.8,426.24,192.40317328866328,357.3679946960067,549.77116798467,34.99695591421562
2026-03-31,457.376744475393,12.8,426.24,194.95226356519154,366.4180022524499,561.3702658176414,34.727928327525795
2026-04-30,456.3760523527668,12.8,426.24,194.5257285548433,375.69719271835146,570.2229212731947,34.11397916458811
2026-05-31,458.42516748257685,12.8,426.24,195.39914338777356,385.21136993483066,580.6105133226042,33.654082884166456
2026-06-30,465.6741277421901,12.8,426.24,198.4889402088311,394.9664847198118,593.4554249286429,33.446309844197216
2026-07-31,475.0543059110879,12.8,426.24,202.48714735154212,404.96863859007294,607.4557859416151,33.33364370505871
2026-08-31,486.0874157252516,12.8,426.24,207.18990007873123,415.2240875775524,622.4139876562836,33.2881175853567
2026-09-30,493.9325471059624,12.8,426.24,210.53380887844543,425.7392461422992,636.2730550207446,33.08859415264431
2026-10-31,496.1493255555864,12.8,426.24,211.47868852481315,436.520691184516,647.9993797093291,32.63563132107865
2026-11-30,500.9345645196036,12.8,426.24,213.51834878083585,447.57516615820305,661.0935149390389,32.297752731778786
2026-12-31,503.9701172918735,12.8,426.24,214.81222279448815,458.90958528897517,673.7218080834633,31.884409888046306
2027-01-31,506.82126783234713,12.8,426.24,216.02749720085964,470.5310378986928,686.5585350995524,31.46527006171953
2027-02-28,517.1093522441681,12.8,426.24,220.4126903005542,482.44679283960903,702.8594831401632,31.359424691236587
2027-03-31,519.7904348933927,12.8,426.24,221.5554749689597,494.66430304080745,716.2197780097672,30.934006819054684
2027-04-30,514.9853861475593,12.8,426.24,219.50737099153568,507.1912101697745,726.6985811613101,30.206109751961957
2027-05-31,521.38835248376,12.8,426.24,222.23657136267784,520.0353494120213,742.2719207746992,29.94004826839368
2027-06-30,528.1335610777869,12.8,426.24,225.11164907379592,533.2047543717458,758.3164034455417,29.68571536247432
2027-07-31,535.1202060260869,12.8,426.24,228.08963661655926,546.7076620965985,774.7972987131577,29.438620526347712
2027-08-31,546.4515748707423,12.8,426.24,232.91951927290523,560.5525182296957,793.4720375026009,29.35447101652171
2027-09-30,553.2265897561451,12.8,426.24,235.8073016176593,574.7479822921039,810.5552839097631,29.092068893836377
2027-10-31,554.9009273754191,12.8,426.24,236.52097128449864,589.3029330990967,825.8239043835953,28.640606069769888
2027-11-30,559.1867695016984,12.8,426.24,238.34776863240396,604.2264743135742,842.5742429459781,28.288043531813216
2027-12-31,560.4070896147977,12.8,426.24,238.86791787741134,619.5279401401165,858.3958580175279,27.827244929755217
2028-01-31,558.7938780934855,12.8,426.24,238.18030259856727,635.2169011632353,873.3972037618025,27.27055932543666
2028-02-29,562.8648451770891,12.8,426.24,239.9155116082825,651.3031703334722,891.2186819417547,26.91993743730364
2028-03-31,566.6004727855246,12.8,426.24,241.507785520102,667.7968091050901,909.3045946251921,26.559613461499065
2028-04-30,574.8890620319137,12.8,426.24,245.04071380048288,684.7081337291955,929.7488475296784,26.35558134345103
2028-05-31,580.5815502506296,12.8,426.24,247.46707997882834,702.0477217062288,949.5148016850571,26.06247733470407
2028-06-30,584.7811738608275,12.8,426.24,249.2571275464391,719.8264184018569,969.083545948296,25.72091215340249
2028-07-31,590.3485198452381,12.8,426.24,251.6301530988343,738.0553438304079,989.6854969292422,25.425264276336534
2028-08-31,597.7679474342467,12.8,426.24,254.79260991437332,756.745899610089,1011.5385095244624,25.18862183844634
